"","NA.","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)"
"1",NA,22,33,29,28,29,27,26,23,23,24,26,25,24,28,25,26,28,25,23,21
"2",NA,27,24,25,25,26,22,19,22,19,17,24,24,25,24,27,25,18,21,22,21
"3",NA,30,24,20,22,16,24,22,15,22,20,18,21,18,28,15,15,23,24,24,32
"4",NA,13,13,24,19,27,25,15,27,21,12,20,18,16,22,16,24,19,16,17,23
"5",NA,18,19,16,19,27,19,24,18,24,18,21,21,12,15,21,21,22,14,16,20
"6",NA,26,20,22,22,14,21,19,16,17,12,19,21,17,16,14,25,16,10,18,22
"7",NA,24,12,17,19,19,21,21,15,19,19,18,17,10,15,16,18,15,28,16,17
"8",NA,19,19,18,12,14,21,14,17,14,22,17,24,19,11,21,19,21,17,12,21
"9",NA,16,18,20,10,17,17,24,16,17,19,28,12,16,22,20,15,18,22,24,17
"10",NA,17,17,16,19,11,19,18,22,14,19,22,12,14,14,13,20,22,10,16,15
"11",NA,14,11,19,15,21,15,15,15,21,11,11,14,15,22,14,21,22,16,14,12
"12",NA,14,17,16,18,17,14,21,17,13,21,20,17,19,12,18,17,13,13,17,16
"13",NA,14,19,16,14,14,16,13,12,23,14,6,17,23,16,24,19,18,24,13,14
"14",NA,13,21,18,9,16,15,18,20,17,19,22,22,18,21,10,14,12,20,16,11
"15",NA,20,14,9,15,20,18,15,18,13,14,19,12,15,6,14,12,20,16,21,18
"16",NA,13,16,18,17,17,10,14,17,15,11,16,11,15,18,15,14,17,13,20,16
"17",NA,14,16,18,16,11,21,12,25,12,23,21,18,16,15,9,19,16,17,24,12
"18",NA,12,16,15,15,15,13,12,17,14,11,11,15,15,26,20,20,18,12,16,19
"19",NA,11,12,17,16,18,11,16,15,17,12,15,14,15,18,18,15,13,16,17,17
"20",NA,12,13,12,14,14,18,23,16,12,19,20,15,12,16,15,11,14,11,20,13
"21",NA,20,21,16,15,19,13,17,18,19,14,15,17,20,23,19,19,18,15,13,16
"22",NA,15,14,16,16,14,18,17,10,17,11,17,18,17,12,19,14,15,25,14,18
"23",NA,18,17,15,15,17,17,18,14,14,16,16,18,16,14,15,18,25,18,12,18
"24",NA,10,23,13,12,17,12,14,25,15,10,19,15,19,11,13,9,20,15,13,12
"25",NA,19,17,15,14,14,14,16,17,10,17,14,16,13,15,19,6,14,22,11,16
"26",NA,16,12,15,15,16,18,8,11,17,14,18,17,16,15,16,20,15,13,16,13
"27",NA,23,19,22,9,26,23,17,17,19,23,21,14,22,21,20,22,18,17,26,20
"28",NA,22,27,35,31,33,30,29,20,20,29,27,15,25,29,30,34,21,23,32,23
"29",NA,28,38,37,34,41,28,37,32,37,29,33,35,34,31,33,32,28,28,37,34
"30",NA,44,35,41,53,49,49,37,38,29,42,46,32,37,37,40,47,29,38,45,34
"31",NA,49,47,42,45,53,57,48,50,42,53,58,43,46,57,40,46,45,42,49,52
"32",NA,56,56,49,56,51,52,55,52,46,54,63,44,53,58,59,54,50,51,48,45
"33",NA,57,65,67,53,64,64,66,54,56,58,63,62,59,55,59,64,59,57,58,55
"34",NA,65,58,61,63,70,65,71,70,53,63,68,66,60,61,60,62,62,66,65,62
"35",NA,67,69,66,65,77,69,74,67,61,62,73,60,67,63,75,63,67,69,60,61
"36",NA,74,78,69,72,74,74,76,74,68,71,86,74,81,63,81,73,74,69,72,71
"37",NA,79,81,76,79,79,78,83,69,76,71,82,70,76,76,78,75,73,75,79,71
"38",NA,76,82,75,82,87,84,79,72,80,80,84,80,78,74,79,77,79,84,86,79
"39",NA,85,90,82,88,87,85,84,76,82,84,89,78,85,81,88,83,81,77,83,83
"40",NA,87,88,87,84,88,87,86,81,92,88,88,86,89,82,89,84,83,84,88,85
"41",NA,90,87,83,87,87,87,91,85,91,90,88,83,88,94,95,92,80,89,91,93
"42",NA,93,90,89,95,92,94,91,85,89,91,94,90,94,92,92,92,83,86,91,88
"43",NA,96,93,91,91,93,94,93,92,94,92,95,93,91,91,96,96,94,92,94,90
"44",NA,97,95,94,90,95,97,93,89,92,97,94,94,95,94,92,93,96,94,89,94
"45",NA,96,99,95,98,96,95,98,89,95,93,97,92,93,94,96,98,95,94,97,91
"46",NA,95,96,98,98,99,94,98,90,95,98,95,94,97,99,95,94,93,98,94,97
"47",NA,98,100,98,98,97,97,99,96,98,96,96,94,93,98,97,99,95,95,100,95
"48",NA,99,98,98,98,100,94,98,96,98,99,95,100,95,99,98,99,96,99,97,97
"49",NA,100,100,99,99,99,100,99,97,96,97,98,98,96,96,100,98,98,97,97,97
"50",NA,98,99,99,99,99,99,100,95,99,99,99,99,94,98,98,95,98,99,96,98
"51",NA,99,100,100,97,98,98,99,99,99,100,99,99,98,99,99,99,100,99,98,100
"52",NA,99,100,99,100,99,99,100,99,100,100,99,98,97,99,99,97,99,100,100,99
"53",NA,100,99,98,99,100,99,100,98,99,99,100,100,100,99,99,98,100,99,99,99
"54",NA,98,99,100,99,100,100,99,98,99,100,100,99,99,100,99,100,100,99,100,98
"55",NA,100,100,99,100,99,100,99,99,100,100,100,100,97,100,100,100,100,100,99,100
"56",NA,100,100,99,100,99,99,99,99,100,100,100,100,97,100,99,100,99,99,100,100
"57",NA,100,100,100,100,100,99,100,100,100,100,100,100,99,99,100,100,99,100,100,100
"58",NA,100,100,99,100,100,100,100,100,100,100,100,100,99,100,100,100,100,100,99,99
"59",NA,100,99,99,100,99,99,99,100,100,100,100,100,100,100,100,100,100,100,99,100
"60",NA,100,100,100,100,100,100,100,100,100,100,100,100,100,99,100,100,100,100,99,100
"61",NA,74,71,68,73,75,62,64,59,74,66,66,70,69,61,70,70,73,70,65,74
"62",NA,45,58,61,55,50,46,56,58,45,56,61,45,57,58,60,48,56,61,43,57
"63",NA,55,45,43,45,48,48,45,39,44,47,36,51,49,40,44,46,46,37,42,46
"64",NA,43,37,43,42,41,40,37,46,38,28,46,38,41,42,45,40,34,36,50,27
"65",NA,27,27,52,31,28,37,31,32,31,35,28,31,25,34,33,34,31,32,34,35
"66",NA,22,31,18,29,22,23,24,27,24,26,25,35,24,35,27,36,31,34,30,28
"67",NA,19,25,24,28,24,24,25,28,24,33,23,21,22,31,23,25,23,25,25,20
"68",NA,19,25,25,16,22,25,18,27,33,24,22,26,29,16,22,31,25,18,23,22
"69",NA,24,23,12,28,27,20,22,18,17,16,21,16,21,16,16,16,20,19,21,18
"70",NA,15,21,19,16,21,17,26,21,24,21,21,17,21,20,20,13,15,24,18,21
"71",NA,17,13,22,22,21,13,26,14,25,10,21,17,24,12,18,22,15,22,20,15
"72",NA,18,22,19,25,13,17,28,21,22,10,25,16,22,17,16,21,16,14,20,21
"73",NA,16,17,21,18,18,22,17,24,21,17,20,14,17,17,15,15,18,18,14,13
"74",NA,25,15,21,18,17,16,10,15,25,15,17,14,27,21,26,13,31,17,22,20
"75",NA,20,12,15,11,22,18,27,10,11,14,18,23,15,14,15,13,15,20,27,14
"76",NA,17,14,18,15,7,17,14,21,7,16,14,18,14,20,15,17,17,19,18,13
"77",NA,14,20,11,21,20,18,19,10,21,21,23,14,23,14,21,12,17,16,7,20
"78",NA,22,8,17,17,26,17,17,14,12,15,8,20,16,19,20,20,15,23,17,18
"79",NA,13,16,18,16,17,20,19,12,24,18,19,18,27,20,14,14,17,10,19,17
"80",NA,16,22,15,18,11,17,15,15,12,22,24,15,13,13,14,16,21,27,15,18
"81",NA,11,15,13,12,14,21,17,18,15,15,17,11,13,10,19,16,14,9,13,17
"82",NA,15,17,13,17,17,15,14,15,22,21,11,15,15,15,13,15,15,13,13,10
"83",NA,13,18,22,16,10,18,13,13,20,10,11,11,10,13,15,14,12,14,10,12
"84",NA,17,10,20,14,14,11,18,13,16,19,12,24,21,22,14,8,16,13,14,18
"85",NA,15,20,10,12,16,14,16,13,14,11,11,12,19,18,17,17,10,12,22,24
"86",NA,17,18,13,15,12,21,16,15,18,22,20,10,16,12,14,11,20,19,12,20
"87",NA,14,13,22,14,13,17,19,15,18,14,20,16,19,15,9,10,16,21,12,15
"88",NA,14,11,13,14,16,19,16,13,11,10,12,19,17,13,19,20,16,16,14,14
"89",NA,8,15,14,17,11,12,14,16,22,11,14,13,15,9,13,20,19,15,16,23
"90",NA,9,19,11,13,15,12,13,21,17,16,12,14,10,18,15,12,13,19,19,19
"91",NA,16,15,7,13,15,14,15,18,8,15,12,13,14,13,19,7,13,13,15,16
"92",NA,12,12,17,12,12,13,12,20,14,12,15,13,15,10,16,25,11,14,17,13
"93",NA,16,21,17,14,23,14,14,17,12,16,9,14,18,8,10,18,18,20,13,13
"94",NA,13,21,16,14,17,21,18,12,12,9,13,13,16,20,13,17,16,13,15,13
"95",NA,18,19,17,15,17,13,17,10,15,15,11,16,13,14,17,14,14,11,19,18
"96",NA,11,14,13,15,15,17,13,20,15,19,9,13,16,17,18,15,18,19,23,21
"97",NA,19,12,14,18,12,15,13,21,17,16,17,21,13,12,10,13,21,13,16,10
"98",NA,17,12,12,18,22,16,14,14,11,13,12,15,17,16,11,8,10,13,15,6
"99",NA,15,17,20,16,14,19,16,13,13,16,19,15,19,19,22,13,18,15,14,14
"100",NA,7,14,18,21,9,14,23,12,15,22,27,10,14,23,11,23,19,16,20,13
"101",NA,15,18,12,19,19,13,13,16,19,14,18,12,14,16,15,12,11,14,15,22
"102",NA,13,13,16,14,13,10,16,11,13,25,17,14,8,16,14,15,16,16,9,14
"103",NA,14,18,15,25,16,18,13,14,16,13,11,9,11,16,18,16,14,21,14,19
"104",NA,16,19,15,16,12,17,21,25,12,25,16,16,15,17,18,18,15,14,16,16
"105",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
