"","NA.","salmon_list[, ""Run1""]","salmon_list[, ""Run1""]","salmon_list[, ""Run1""]","salmon_list[, ""Run1""]","salmon_list[, ""Run1""]","salmon_list[, ""Run1""]","salmon_list[, ""Run1""]","salmon_list[, ""Run1""]","salmon_list[, ""Run1""]","salmon_list[, ""Run1""]"
"1",NA,0,0,0,0,0,0,0,0,0,0
"2",NA,0,0,0,0,0,0,0,0,0,0
"3",NA,0,0,0,0,0,0,0,0,0,0
"4",NA,0,0,0,0,0,0,0,0,0,0
"5",NA,0,0,0,0,0,0,0,0,0,0
"6",NA,0,0,0,0,0,0,0,0,0,0
"7",NA,0,0,0,0,0,0,0,0,0,0
"8",NA,0,0,0,0,0,0,0,0,0,0
"9",NA,0,0,0,0,0,0,0,0,0,0
"10",NA,0,0,0,0,0,0,0,0,0,0
"11",NA,0,0,0,0,0,0,0,0,0,0
"12",NA,0,0,0,0,0,0,0,0,0,0
"13",NA,1,1,1,1,1,1,1,1,1,1
"14",NA,1,1,1,1,1,1,1,1,1,1
"15",NA,2,2,2,2,2,2,2,2,2,2
"16",NA,4,4,4,4,4,4,4,4,4,4
"17",NA,7,7,7,7,7,7,7,7,7,7
"18",NA,11,10,10,10,10,10,10,10,10,10
"19",NA,17,16,16,16,16,16,16,16,16,16
"20",NA,25,23,23,23,23,23,23,23,23,23
"21",NA,35,33,33,33,33,33,33,33,33,33
"22",NA,49,47,47,46,46,46,46,46,46,46
"23",NA,68,64,64,63,63,64,63,63,63,63
"24",NA,92,88,87,86,86,86,86,86,86,86
"25",NA,121,116,115,114,114,113,113,113,113,113
"26",NA,156,150,148,147,147,146,146,146,146,146
"27",NA,199,191,188,187,187,186,186,186,186,186
"28",NA,251,240,237,236,235,235,234,234,234,234
"29",NA,310,296,293,291,290,291,289,289,289,289
"30",NA,376,360,357,354,353,354,352,351,351,351
"31",NA,451,432,427,424,425,425,422,421,420,421
"32",NA,531,508,503,499,501,499,498,496,495,496
"33",NA,617,593,584,581,582,580,579,578,576,578
"34",NA,706,677,671,666,666,664,663,662,659,662
"35",NA,794,763,756,750,751,748,747,745,743,745
"36",NA,880,847,840,835,832,830,829,827,826,826
"37",NA,934,902,891,885,884,884,883,881,879,880
"38",NA,988,951,943,939,940,937,935,933,931,931
"39",NA,1038,997,990,986,986,984,983,981,978,978
"40",NA,1078,1037,1029,1024,1024,1021,1021,1017,1016,1016
"41",NA,1104,1060,1053,1047,1048,1045,1045,1040,1040,1040
"42",NA,1116,1068,1061,1056,1057,1053,1054,1050,1049,1048
"43",NA,1110,1060,1055,1050,1050,1047,1046,1044,1043,1042
"44",NA,1088,1038,1032,1026,1028,1025,1024,1021,1020,1019
"45",NA,1052,1002,996,990,992,988,987,984,984,982
"46",NA,1002,950,946,940,942,937,936,934,934,932
"47",NA,938,888,883,879,879,875,873,873,872,872
"48",NA,867,818,812,810,808,806,804,803,802,802
"49",NA,786,741,735,733,732,730,728,728,726,726
"50",NA,704,660,654,654,652,650,648,648,647,646
"51",NA,621,579,574,573,572,571,569,568,568,567
"52",NA,540,501,496,494,494,494,492,491,491,490
"53",NA,479,439,435,434,434,433,433,431,432,430
"54",NA,413,376,374,372,372,371,371,369,370,369
"55",NA,349,314,312,311,311,310,310,309,309,309
"56",NA,288,257,256,255,255,254,254,253,253,253
"57",NA,234,207,206,206,206,205,205,204,204,204
"58",NA,187,164,164,164,163,163,163,162,162,162
"59",NA,147,128,128,127,127,127,127,126,126,126
"60",NA,113,98,98,97,97,97,97,97,97,97
"61",NA,84,74,73,73,73,73,73,73,73,73
"62",NA,61,54,54,54,54,54,54,54,54,54
"63",NA,44,40,40,40,40,40,40,40,40,40
"64",NA,31,28,28,28,28,28,28,28,28,28
"65",NA,21,20,20,20,20,20,20,20,20,20
"66",NA,14,13,13,13,13,13,13,13,13,13
"67",NA,9,8,8,8,8,8,8,8,8,8
"68",NA,5,5,5,5,5,5,5,5,5,5
"69",NA,3,3,3,3,3,3,3,3,3,3
"70",NA,1,1,1,1,1,1,1,1,1,1
"71",NA,0,0,0,0,0,0,0,0,0,0
"72",NA,0,0,0,0,0,0,0,0,0,0
"73",NA,0,0,0,0,0,0,0,0,0,0
"74",NA,0,0,0,0,0,0,0,0,0,0
"75",NA,0,0,0,0,0,0,0,0,0,0
"76",NA,0,0,0,0,0,0,0,0,0,0
"77",NA,0,0,0,0,0,0,0,0,0,0
"78",NA,0,0,0,0,0,0,0,0,0,0
"79",NA,0,0,0,0,0,0,0,0,0,0
"80",NA,0,0,0,0,0,0,0,0,0,0
"81",NA,0,0,0,0,0,0,0,0,0,0
"82",NA,0,0,0,0,0,0,0,0,0,0
"83",NA,0,0,0,0,0,0,0,0,0,0
"84",NA,0,0,0,0,0,0,0,0,0,0
"85",NA,0,0,0,0,0,0,0,0,0,0
"86",NA,0,0,0,0,0,0,0,0,0,0
"87",NA,0,0,0,0,0,0,0,0,0,0
"88",NA,0,0,0,0,0,0,0,0,0,0
"89",NA,0,0,0,0,0,0,0,0,0,0
"90",NA,0,0,0,0,0,0,0,0,0,0
"91",NA,0,0,0,0,0,0,0,0,0,0
"92",NA,0,0,0,0,0,0,0,0,0,0
"93",NA,0,0,0,0,0,0,0,0,0,0
"94",NA,0,0,0,0,0,0,0,0,0,0
"95",NA,0,0,0,0,0,0,0,0,0,0
"96",NA,0,0,0,0,0,0,0,0,0,0
"97",NA,0,0,0,0,0,0,0,0,0,0
"98",NA,0,0,0,0,0,0,0,0,0,0
"99",NA,0,0,0,0,0,0,0,0,0,0
"100",NA,0,0,0,0,0,0,0,0,0,0
"101",NA,0,0,0,0,0,0,0,0,0,0
"102",NA,0,0,0,0,0,0,0,0,0,0
"103",NA,0,0,0,0,0,0,0,0,0,0
"104",NA,0,0,0,0,0,0,0,0,0,0
"105",NA,0,0,0,0,0,0,0,0,0,0
