"","NA.","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)"
"1",NA,9,10,7,5,4,4,6,4,3,4,4,2,3,3,3,3,2,4,3,4,4,7,1,4,5,2,6,1,4,4,6,6,4,3,6,4,6,3,4,1,4,11,5,9,2,4,6,1,6,4,5,5,10,3,3,5,6,3,4,5,3,5,3,5,1,3,2,5,5,4,5,3,6,7,6,3,3,8,3,1,3,2,3,4,1,4,3,1,8,0,9,3,4,6,2,4,0,9,2,2
"2",NA,4,10,5,5,4,1,7,5,6,3,2,4,4,6,5,5,4,5,5,4,2,3,1,4,4,4,3,1,1,5,7,7,4,4,4,2,1,4,5,4,2,5,4,2,3,10,5,3,4,7,7,6,6,6,2,3,7,5,6,7,4,5,5,3,6,2,3,2,3,6,5,1,2,1,4,3,5,2,1,7,8,3,5,4,9,4,4,3,5,1,0,2,5,4,5,4,5,6,3,2
"3",NA,5,4,5,3,3,2,4,8,4,5,2,3,7,2,7,3,7,3,2,9,5,4,2,6,6,8,6,2,5,2,3,3,4,8,4,2,6,3,5,2,3,1,6,6,5,1,3,6,4,3,3,1,2,4,7,3,5,2,3,3,1,2,4,4,2,4,4,1,2,6,3,8,4,2,5,1,2,4,3,2,6,6,1,3,4,5,1,6,3,1,5,2,4,4,2,2,1,2,1,1
"4",NA,5,5,2,2,2,3,3,3,6,5,3,4,2,4,1,3,5,4,5,2,3,3,4,3,5,3,6,2,3,7,3,6,3,4,5,5,2,0,2,4,1,5,3,4,6,2,3,2,2,3,6,1,1,6,4,3,3,3,6,4,3,7,4,3,2,7,6,2,3,3,6,4,5,4,3,4,4,5,7,6,2,4,6,2,4,2,2,5,7,1,7,3,10,5,1,3,4,4,6,2
"5",NA,3,4,4,1,4,9,5,2,3,2,2,6,6,2,3,2,1,6,0,3,5,3,1,5,6,3,3,3,4,2,1,4,7,1,5,5,2,6,7,5,4,5,6,2,5,4,3,3,5,3,3,1,5,1,0,8,3,3,3,3,4,5,4,6,3,2,6,5,5,5,9,2,2,3,4,5,1,7,2,1,2,2,3,1,1,3,4,2,5,1,6,4,2,5,2,3,5,3,5,4
"6",NA,4,4,3,2,3,5,3,5,2,5,0,3,1,3,2,3,2,4,7,4,7,8,3,1,4,2,3,2,4,3,4,9,2,2,2,6,2,6,6,1,3,5,5,4,3,5,9,4,1,7,7,7,5,5,1,2,4,6,5,4,2,4,3,2,2,2,4,4,3,6,0,1,3,2,6,5,3,8,3,6,7,3,3,5,3,4,3,4,3,2,4,5,1,3,2,5,5,4,2,6
"7",NA,2,2,3,3,3,6,6,5,5,2,5,4,2,2,5,1,1,7,6,2,1,4,3,3,4,3,5,1,4,6,4,6,3,2,4,2,3,1,4,4,5,6,5,5,5,4,8,5,5,4,5,6,1,3,5,3,2,3,2,5,6,2,6,5,3,2,7,3,6,6,3,6,3,2,5,4,3,5,2,4,3,3,3,4,4,6,3,3,4,3,4,2,4,5,4,1,4,6,5,1
"8",NA,1,6,1,9,2,4,1,3,4,0,1,3,5,3,3,5,7,6,2,2,3,1,3,3,2,4,1,3,4,4,2,4,6,1,2,2,4,8,8,0,3,5,3,4,4,3,4,2,6,1,3,5,3,1,1,1,5,2,1,2,4,5,2,4,0,4,1,5,1,7,3,6,3,5,7,6,5,3,4,3,7,6,6,4,2,5,2,7,3,3,2,4,1,6,1,5,3,1,5,1
"9",NA,5,4,4,2,0,7,5,5,8,1,5,6,2,5,4,8,5,3,0,4,2,6,0,6,3,5,7,4,6,4,2,0,3,3,6,1,4,7,2,1,4,3,2,4,4,3,2,4,9,2,3,6,3,4,3,2,8,2,3,6,4,4,2,0,2,1,1,2,6,3,4,4,3,5,2,5,2,9,5,2,5,2,4,2,6,3,3,9,2,1,2,7,7,4,5,5,6,4,2,5
"10",NA,5,3,2,4,3,5,7,2,3,6,3,3,4,3,1,2,5,0,2,5,3,2,2,3,0,3,4,1,6,3,2,3,1,4,4,4,3,5,1,5,5,4,2,5,6,2,1,4,4,2,3,2,8,6,5,7,2,4,4,5,2,5,3,3,3,4,3,7,3,4,2,4,1,2,5,8,0,2,5,2,0,3,4,4,3,5,3,1,7,1,4,7,5,4,3,7,5,2,2,2
"11",NA,3,2,2,0,0,5,4,4,3,1,2,4,5,2,4,3,2,4,1,3,1,6,6,5,2,3,5,6,4,6,4,5,5,6,2,5,2,3,5,5,2,6,6,4,0,3,2,2,1,1,0,5,1,5,2,4,2,4,3,6,1,1,3,3,2,10,3,1,1,4,0,4,3,7,3,3,3,1,1,2,2,1,1,5,6,3,4,4,3,4,5,6,5,3,2,0,1,6,1,1
"12",NA,5,1,1,5,6,1,2,3,1,3,0,4,1,2,4,2,5,5,4,0,4,5,2,9,4,2,3,3,2,4,3,4,4,1,5,3,4,3,8,4,2,4,4,3,6,2,3,1,3,3,2,5,13,1,5,1,11,6,2,4,3,5,2,4,3,3,3,3,0,3,7,7,3,2,6,3,4,6,3,5,6,3,3,1,5,2,2,2,0,2,4,2,3,2,2,6,2,3,1,3
"13",NA,7,8,3,4,3,1,5,0,7,3,2,4,8,1,5,2,2,4,5,3,4,3,5,3,6,3,4,2,3,5,3,5,5,3,0,4,3,8,2,4,3,0,5,3,2,6,5,3,3,3,1,1,2,1,3,4,2,2,2,6,3,4,3,3,2,3,7,4,4,4,3,1,6,6,3,5,8,4,2,1,4,5,5,1,3,2,3,2,4,3,2,1,8,5,2,0,3,4,3,1
"14",NA,4,4,3,4,4,3,3,0,4,5,4,3,4,2,3,0,5,4,5,4,3,6,2,4,0,4,6,3,1,2,1,3,3,2,4,2,0,3,1,2,1,5,7,2,1,2,4,3,5,2,3,6,3,4,4,5,6,4,4,3,2,2,3,3,6,2,3,1,2,3,5,5,2,3,2,5,3,3,2,4,2,1,2,4,1,2,1,3,2,1,3,2,3,6,6,5,3,3,2,3
"15",NA,1,3,1,2,5,3,2,4,1,3,1,3,3,3,5,2,3,2,6,3,4,3,2,3,4,2,3,3,6,3,4,3,5,3,3,5,4,3,5,1,3,5,7,1,5,1,5,3,2,5,3,3,5,1,3,3,1,4,3,3,1,1,2,1,4,4,2,5,3,4,5,4,2,4,2,4,1,5,2,1,2,2,3,6,3,3,3,4,2,2,2,1,4,4,0,4,3,4,3,1
"16",NA,3,4,1,4,3,4,4,5,5,4,1,4,5,3,0,5,1,9,5,5,2,1,3,1,2,3,7,3,1,3,2,6,4,3,1,4,5,5,6,3,3,2,2,1,0,3,4,6,6,6,3,5,5,4,6,4,7,3,2,0,4,4,3,3,2,3,4,3,2,4,2,4,6,2,7,4,6,4,2,4,2,3,7,2,4,3,1,3,2,4,0,4,3,1,4,5,2,2,5,5
"17",NA,6,6,6,3,4,0,4,3,3,5,4,3,4,5,5,3,4,5,3,6,3,5,2,5,3,3,3,4,5,5,7,2,3,2,2,1,4,1,6,6,2,4,1,4,1,7,3,6,2,2,2,3,4,1,2,1,2,1,3,4,2,5,6,7,2,9,2,2,4,4,3,5,5,0,3,4,4,1,4,2,6,5,4,3,5,5,2,3,8,1,7,5,2,4,5,7,5,6,5,1
"18",NA,3,3,8,2,5,5,6,5,2,5,2,3,2,2,2,3,4,5,1,6,4,3,1,4,3,1,2,1,5,3,3,3,1,2,3,1,1,6,5,4,3,4,3,2,5,3,3,5,4,0,5,2,8,4,3,4,3,7,8,0,3,7,4,0,3,3,1,5,6,5,6,7,2,1,3,4,2,5,3,0,8,2,3,2,3,5,6,4,6,3,4,5,5,4,10,3,0,6,1,0
"19",NA,3,8,3,1,3,4,0,8,5,4,4,6,4,2,3,2,5,4,6,1,4,5,3,5,5,3,4,2,4,2,2,4,5,5,0,8,2,2,5,2,5,7,2,4,5,0,5,7,9,5,6,6,4,4,2,5,5,7,2,5,4,5,3,5,6,4,2,3,4,4,6,8,2,5,5,6,6,6,5,1,7,0,5,3,3,2,4,7,5,1,6,5,3,3,3,7,6,3,8,1
"20",NA,6,12,3,5,6,2,2,4,4,3,4,8,6,6,5,4,5,3,5,7,3,6,4,4,7,6,5,4,4,7,5,2,2,4,3,6,4,5,8,5,7,9,4,5,7,5,4,4,6,2,4,6,8,8,7,4,5,4,6,4,6,4,3,4,5,6,1,2,6,7,6,11,5,8,10,5,10,4,6,4,7,3,6,2,9,10,6,7,4,2,6,2,8,8,3,3,6,4,7,6
"21",NA,6,6,11,7,7,6,10,5,4,5,5,5,3,8,8,7,9,8,6,5,5,10,11,5,10,6,9,3,4,6,4,5,6,8,0,9,5,2,6,3,2,7,5,6,9,3,9,4,8,4,6,6,7,6,8,4,11,6,4,2,8,6,6,12,5,6,4,1,6,4,11,6,7,4,8,9,3,5,5,8,4,6,3,3,4,4,7,5,4,4,7,5,8,12,10,9,9,5,5,1
"22",NA,7,10,5,9,5,3,10,5,4,10,7,9,7,7,12,9,9,6,9,8,9,16,8,6,5,8,8,4,10,11,8,8,5,8,6,9,6,6,9,3,7,5,5,6,9,2,11,5,13,3,9,11,7,7,7,7,7,8,12,5,9,13,2,8,8,11,7,4,5,11,11,12,8,5,8,12,4,9,6,8,6,7,5,7,13,5,9,7,6,4,9,9,3,8,11,9,3,3,4,2
"23",NA,10,12,5,11,9,5,9,9,8,10,4,10,11,4,10,11,9,9,8,10,8,13,10,6,14,4,10,5,6,16,7,5,4,12,7,8,6,9,9,6,5,10,5,10,12,5,11,10,13,5,9,9,12,7,9,8,15,9,11,8,8,16,6,9,11,13,6,5,12,14,12,16,9,5,11,7,5,6,8,5,7,12,9,10,8,7,11,11,12,4,8,6,9,13,6,13,7,4,11,6
"24",NA,9,12,10,7,11,8,10,5,10,9,7,11,15,6,17,9,10,8,9,12,7,16,13,12,10,14,14,13,10,15,6,9,7,10,10,12,6,8,13,7,10,11,9,6,17,11,11,11,14,6,3,14,12,5,7,6,9,11,12,9,10,12,8,11,11,10,4,5,5,15,7,19,16,6,11,9,10,11,10,12,12,9,11,6,12,6,15,8,12,6,5,6,13,18,12,15,9,7,10,5
"25",NA,7,16,12,13,16,9,13,7,9,7,10,14,11,6,13,12,20,12,12,13,13,16,9,14,14,8,14,11,11,23,9,13,11,10,7,13,11,12,6,6,9,13,9,10,12,10,12,9,14,10,8,12,17,13,11,12,9,7,9,13,14,17,8,16,17,20,12,5,19,21,12,23,21,10,16,12,8,13,9,7,12,8,12,10,10,7,18,14,17,5,12,11,16,12,14,12,12,8,10,10
"26",NA,14,24,10,12,17,15,7,10,11,11,9,18,11,10,11,16,16,19,11,15,12,20,10,13,11,14,18,10,9,18,15,15,13,15,10,14,10,11,17,7,8,16,15,9,17,13,11,16,16,8,9,16,20,13,12,11,19,7,12,10,17,23,13,18,18,12,11,9,17,19,11,16,19,15,19,10,9,20,9,11,15,8,11,9,14,17,13,12,22,6,15,10,20,14,11,13,19,10,9,5
"27",NA,9,26,10,13,19,9,16,12,10,15,12,15,16,8,18,14,14,19,16,17,16,15,15,13,14,13,13,13,12,20,14,12,14,13,9,19,10,15,12,12,15,18,12,10,13,11,13,16,15,11,13,17,21,17,8,12,21,15,15,12,15,23,11,16,22,16,16,8,9,19,15,19,21,11,24,8,7,18,16,15,15,15,11,18,14,19,16,11,18,6,15,16,20,17,10,23,18,12,18,8
"28",NA,11,18,16,12,18,9,14,14,12,14,10,18,17,13,21,10,34,22,14,18,14,19,19,19,13,15,22,16,15,26,19,17,8,17,13,18,16,15,20,8,15,22,10,16,17,11,13,16,13,12,11,20,16,13,13,14,19,15,19,12,19,25,14,19,19,22,9,10,17,26,16,25,23,11,20,19,13,22,20,16,16,17,13,16,14,16,20,15,21,8,12,11,22,11,17,18,18,10,13,12
"29",NA,16,22,13,13,17,8,19,18,13,17,17,20,22,14,19,16,32,24,16,22,16,24,22,16,16,14,23,16,12,28,19,15,12,17,22,20,16,21,22,7,11,29,16,16,17,12,15,17,26,13,15,22,24,17,16,18,25,15,19,14,18,25,19,25,20,20,15,12,12,30,20,37,24,13,27,19,14,19,18,14,14,17,17,22,16,17,15,15,25,9,13,15,22,21,17,25,20,11,15,9
"30",NA,20,18,21,19,26,15,17,18,15,21,14,20,21,14,18,18,27,21,15,23,15,30,21,22,12,14,20,19,13,34,16,16,17,23,15,25,19,25,25,11,19,24,11,13,25,15,15,25,23,16,14,23,21,16,20,20,28,14,20,23,18,30,18,15,17,21,18,13,19,30,17,28,26,16,32,24,13,19,27,16,15,19,16,15,15,20,18,16,26,13,16,15,28,23,19,28,23,13,16,13
"31",NA,15,25,16,20,20,15,25,22,18,17,16,31,21,19,21,16,34,27,15,21,17,23,17,23,15,18,27,19,19,39,16,20,16,24,18,20,21,24,24,10,16,25,14,16,23,16,23,19,23,17,13,21,26,20,15,23,38,18,20,17,21,26,16,22,21,36,17,17,21,30,24,31,23,20,28,24,11,27,22,23,16,19,20,20,14,18,21,20,32,16,14,18,24,19,24,22,17,13,19,13
"32",NA,17,32,18,21,25,14,28,19,16,17,15,26,22,17,18,23,33,30,19,27,21,15,21,18,16,21,25,14,17,28,19,18,20,22,19,18,17,31,31,16,16,19,20,17,26,22,20,22,29,12,16,19,20,19,25,23,37,18,24,18,23,29,16,24,25,20,12,15,23,28,18,36,25,20,27,31,15,26,23,18,17,24,21,17,19,19,20,21,30,15,23,19,26,26,24,29,25,20,18,12
"33",NA,15,26,23,22,28,15,28,14,10,22,15,28,22,20,19,21,33,19,20,37,20,29,17,31,22,19,27,18,16,32,24,19,22,22,20,24,21,31,26,13,21,26,22,22,29,23,21,28,27,21,17,25,23,20,17,20,36,19,19,27,22,30,20,17,25,33,17,21,22,35,19,34,31,20,28,27,16,32,20,27,19,24,23,24,18,24,22,22,35,22,18,23,25,27,26,25,26,19,23,14
"34",NA,19,37,21,18,26,17,24,17,18,22,25,28,23,24,24,23,35,25,23,32,20,25,22,31,18,20,25,27,22,31,25,25,17,21,17,23,22,33,30,16,20,32,23,26,23,25,22,25,30,19,19,27,28,22,18,24,25,23,24,23,23,30,22,20,20,23,19,21,23,21,27,35,25,25,36,30,22,25,21,22,26,17,21,21,21,18,21,22,36,24,18,15,28,27,30,26,23,20,20,20
"35",NA,19,35,21,26,25,20,26,20,23,27,27,33,24,23,24,20,32,35,18,33,22,24,26,28,26,25,26,29,24,37,24,23,22,22,22,21,22,37,35,14,20,30,24,18,28,23,21,25,35,18,20,25,30,20,20,22,29,19,23,23,24,38,19,25,25,28,23,20,24,32,31,37,32,20,34,30,24,26,23,25,33,29,27,22,18,28,22,20,34,21,18,21,35,26,32,31,25,12,21,19
"36",NA,18,37,25,21,24,18,30,24,20,24,20,28,27,26,27,22,36,28,20,35,24,34,25,27,21,23,33,26,21,38,25,19,24,19,25,25,19,42,30,19,26,33,25,22,29,23,21,30,35,30,21,26,32,25,21,25,40,21,23,25,23,27,27,26,25,28,17,20,28,33,29,36,33,22,34,30,23,32,20,22,26,24,26,21,21,27,24,21,32,22,22,23,31,29,29,31,27,24,21,20
"37",NA,23,39,25,21,25,24,30,22,18,19,24,26,31,24,24,28,41,33,21,30,23,35,24,29,22,19,33,24,24,40,33,29,24,21,26,27,25,44,32,16,29,32,23,23,29,23,21,24,39,24,18,23,37,24,22,23,29,26,24,27,26,34,22,17,30,30,20,24,28,32,33,35,30,22,30,27,19,40,23,21,27,28,24,22,24,31,20,25,36,21,26,22,37,32,28,37,24,21,23,26
"38",NA,22,39,26,22,23,22,30,24,23,28,29,32,31,19,24,19,44,38,20,31,26,31,21,30,22,23,30,29,27,45,30,29,18,25,19,21,21,38,37,18,21,35,24,23,29,24,20,30,39,27,24,27,33,19,21,21,30,24,26,26,22,39,23,29,36,38,23,21,24,37,37,38,34,22,37,31,21,40,24,24,26,29,22,23,19,24,22,22,41,27,26,22,34,30,23,36,26,24,23,25
"39",NA,24,35,24,24,30,21,38,28,25,27,34,31,28,25,27,25,40,33,26,35,25,30,20,28,21,20,33,25,26,39,28,27,23,27,27,23,26,37,35,19,23,26,20,24,29,26,19,23,31,23,19,26,33,23,21,28,36,22,27,32,20,34,26,25,35,30,24,21,25,38,36,37,33,23,31,36,22,31,29,25,31,22,30,23,22,27,21,30,30,21,18,23,32,34,31,35,30,23,22,29
"40",NA,20,37,22,24,24,21,36,26,21,27,30,26,33,28,26,27,46,38,25,38,25,31,28,33,18,27,30,25,25,41,29,30,21,23,23,24,26,49,32,24,29,37,26,24,32,20,28,35,36,26,24,31,34,23,24,31,46,21,25,26,24,45,22,31,35,36,23,23,28,28,34,36,29,23,35,35,24,37,24,22,35,24,29,23,28,29,19,25,44,25,23,22,37,31,26,41,27,18,22,28
"41",NA,22,39,22,23,30,24,36,23,25,31,30,34,30,20,27,22,48,31,24,37,26,34,23,32,22,24,32,29,25,44,31,30,28,27,24,23,23,45,37,23,25,35,24,22,32,20,25,25,34,26,24,29,39,25,19,32,30,20,26,30,26,40,25,22,37,37,25,19,33,35,40,37,36,19,37,37,28,42,28,24,33,24,30,22,23,33,27,23,36,26,22,25,41,36,26,40,25,25,22,28
"42",NA,23,43,30,20,26,21,39,29,20,30,28,30,29,22,25,23,46,41,21,34,25,36,28,33,23,30,33,34,27,38,31,29,24,26,24,20,22,37,35,26,29,38,18,20,42,24,25,31,34,28,21,27,34,21,20,33,37,21,19,25,21,39,25,24,35,37,26,23,28,43,34,38,34,21,34,37,27,30,29,24,32,28,27,23,25,29,27,28,46,23,29,22,40,28,23,38,27,23,19,24
"43",NA,21,35,30,24,29,20,37,34,24,29,34,42,33,24,28,23,42,39,25,41,22,41,24,42,22,30,40,26,25,42,29,31,23,24,22,30,21,41,42,24,27,40,23,23,36,26,20,31,37,21,22,25,35,24,27,33,43,24,24,27,18,38,20,23,41,37,27,20,36,50,41,35,40,21,36,37,22,40,32,23,34,30,23,22,22,28,26,27,43,24,25,25,40,37,22,38,27,27,25,27
"44",NA,19,39,28,21,27,20,39,31,24,29,32,37,40,25,23,24,47,41,21,35,26,44,24,35,28,25,28,34,24,41,28,34,22,26,23,27,25,40,33,24,28,42,21,20,32,26,25,28,38,25,20,25,37,21,22,35,42,24,29,22,21,43,21,28,43,35,25,21,25,42,41,44,28,23,35,34,23,41,26,23,34,28,26,23,19,27,23,27,41,30,29,22,36,37,25,39,26,25,25,30
